AccX,AccY,AccZ,Acc_Mag,Altitude,Delta_Pitch,Delta_Roll,GyroX,GyroY,GyroZ,Gyro_Mag,Jerk,Pitch,Roll,Speed,Yaw,Delta_Altitude,Label
-0.777517021,0.463278025,10.15979481,10.20002891,855.5999756,4.331788864,1.087912591,0.021038957,0.058190025,-0.589490294,0.592728879,0.121594313,-2.357783471,-0.669847162,0.116819926,92.35794443,0,Normal Driving
-0.006584055,0.132878199,9.010578156,9.011560279,855.5999756,3.202657797,0.711713341,0.021038957,0.058190025,-0.589490294,0.592728879,1.188468632,0.844874326,0.04186618,0.116819926,89.15512545,0,Normal Driving
0.491409898,0.032321721,8.910021782,8.923621268,855.5999756,0.663922148,3.273192675,0.021038957,0.058190025,-0.589490294,0.592728879,0.087939011,0.180952178,-3.231326495,0.116819926,89.81875967,0,Normal Driving
1.209670424,0.195127442,10.27471638,10.34752018,855.5999756,0.026575933,0.074519717,0.021038957,0.058190025,-0.589490294,0.592728879,1.423898913,0.207528111,-3.156806778,0.116819926,89.7921565,0,Normal Driving
0.295085371,0.080205753,9.398438454,9.403411812,855.5999756,1.348780775,0.930511093,0.070840031,0.03981423,-0.155528486,0.175478183,0,0.488706331,-1.798340657,0.116819926,89.51105286,0,Normal Driving
0.615908384,0.391451985,9.599552155,9.627251911,855.5999756,0,0,0.070840031,0.03981423,-0.155528486,0.175478183,0.223840099,0.488706331,-1.798340657,0.116819926,89.51105286,0,Normal Driving
0.438737452,0.099359371,9.364919662,9.375717739,855.5999756,1.841629637,1.8727314,0.070840031,0.03981423,-0.155528486,0.175478183,0.251534172,2.330335968,-3.671072057,0.116819926,87.66487782,0,Normal Driving
0.275931746,0.985213995,10.14064121,10.19212388,855.5999756,3.216779166,2.112410827,0.070840031,0.03981423,-0.155528486,0.175478183,0.816406139,5.547115134,-1.55866123,0.116819926,84.45084449,0,Normal Driving
0.510563493,1.148019671,10.10233402,10.18016586,855.5999756,0,0,0.070840031,0.03981423,-0.155528486,0.175478183,0.011958017,5.547115134,-1.55866123,0.116819926,84.45084449,0,Normal Driving
0.563235939,0.870292306,9.379284859,9.436399095,855.5999756,0.537431727,1.987957777,0.070840031,0.03981423,-0.155528486,0.175478183,0.743766766,6.084546861,-3.546619007,0.116819926,83.90386546,0,Normal Driving
0.951096654,0.812831461,9.498994827,9.581032437,855.5999756,1.152868841,4.085110402,-0.005459476,-0.039015282,-0.009986847,0.040641545,0.13854072,3.694078256,-8.205781101,0.116819926,86.26781739,0,Normal Driving
0.175375268,0.85592711,10.10233402,10.14004538,855.5999756,1.032074672,3.901929883,-0.005459476,-0.039015282,-0.009986847,0.040641545,0.559012948,4.726152929,-4.303851218,0.116819926,85.26054286,0,Normal Driving
0.237624526,0.788889468,9.556455612,9.591905748,855.5999756,0.115978838,3.309303479,-0.005459476,-0.039015282,-0.009986847,0.040641545,0.548139637,4.842131767,-0.994547739,0.116819926,85.15714213,0,Normal Driving
0.740406871,0.956483603,9.293093681,9.371480853,855.5999756,1.015861072,3.560745546,-0.005459476,-0.039015282,-0.009986847,0.040641545,0.220424894,5.857992839,-4.555293285,0.116819926,84.12357372,0,Normal Driving
0.438737452,0.92775315,9.628282547,9.682821968,855.5999756,0.021314505,0.527590236,-0.005459476,-0.039015282,-0.009986847,0.040641545,0.311341115,5.836678333,-4.027703049,0.116819926,84.14897072,0,Normal Driving
0.4818331,0.77931267,9.685743332,9.72898326,855.5999756,0.789761621,2.302279588,-0.005459476,-0.039015282,-0.009986847,0.040641545,0.046161292,5.046916712,-1.725423462,0.116819926,84.9508058,0,Normal Driving
0.524928749,0.860715508,9.652224541,9.704731834,855.5999756,0.150909465,0.463618936,0.000932106,0.004926845,-0.000532632,0.005042451,0.073726845,5.08826508,-3.112919997,0.116819926,84.9042554,0,Normal Driving
0.41000703,0.836773515,9.724050522,9.768595305,855.5999756,0.174312231,0.698518115,0.000932106,0.004926845,-0.000532632,0.005042451,0.063863471,4.91395285,-2.414401881,0.116819926,85.08170243,0,Normal Driving
0.496198297,0.851138711,9.61870575,9.669030466,855.5999756,0,0,0.000932106,0.004926845,-0.000532632,0.005042451,0.099564839,4.91395285,-2.414401881,0.116819926,85.08170243,0,Normal Driving
0.596754789,0.712275028,9.575610161,9.62059052,855.5999756,0.668087882,1.151675743,0.000932106,0.004926845,-0.000532632,0.005042451,0.048439946,4.245864968,-3.566077624,0.116819926,85.74592815,0,Normal Driving
0.352546215,0.980425596,9.795876503,9.851127836,855.5999756,1.465907376,1.504935261,0.000932106,0.004926845,-0.000532632,0.005042451,0.230537317,5.711772344,-2.061142363,0.116819926,84.28455431,0,Normal Driving
